type,id,positionId,start_utc,end_utc,note,color,areas,timestamp_utc,duration_ms,metrics_parameter,metrics_data_resolution,metrics_duration_ms,metrics_laeq,metrics_lafmax,metrics_la90,metrics_la90_available,metrics_broadband_value,metrics_broadband_position,metrics_timestamp_utc,metrics_spectrum_source
region,1,"Residential boundary (971-2, 440 m)",2026-03-04 10:01:03.516,2026-03-04 10:01:03.832,,#1e88e5,"[{""startUtc"":""2026-03-04 10:01:03.516"",""endUtc"":""2026-03-04 10:01:03.832""}]",,316,LZeq,none,316,0,0,0,,,,,
region,2,"Residential boundary (971-2, 440 m)",2026-03-04 10:01:05.412,2026-03-04 10:01:05.758,,#1e88e5,"[{""startUtc"":""2026-03-04 10:01:05.412"",""endUtc"":""2026-03-04 10:01:05.758""}]",,346,LZeq,none,346,0,0,0,,,,,
region,3,"Residential boundary (971-2, 440 m)",2026-03-04 10:00:29.094,2026-03-04 10:00:29.492,,#1e88e5,"[{""startUtc"":""2026-03-04 10:00:29.094"",""endUtc"":""2026-03-04 10:00:29.492""}]",,397,LZeq,none,397,0,0,0,,,,,
region,4,"Residential boundary (971-2, 440 m)",2026-03-04 10:00:31.100,2026-03-04 10:00:31.469,,#1e88e5,"[{""startUtc"":""2026-03-04 10:00:31.100"",""endUtc"":""2026-03-04 10:00:31.469""}]",,369,LZeq,none,369,0,0,0,,,,,
region,5,"Residential boundary (971-2, 440 m)",2026-03-04 10:00:08.706,2026-03-04 10:00:08.923,,#1e88e5,"[{""startUtc"":""2026-03-04 10:00:08.706"",""endUtc"":""2026-03-04 10:00:08.923""}]",,217,LZeq,none,217,0,0,0,,,,,
region,6,"Residential boundary (971-2, 440 m)",2026-03-04 09:59:22.797,2026-03-04 09:59:23.121,,#1e88e5,"[{""startUtc"":""2026-03-04 09:59:22.797"",""endUtc"":""2026-03-04 09:59:23.121""}]",,324,LZeq,none,324,0,0,0,,,,,
region,7,"Residential boundary (971-2, 440 m)",2026-03-04 10:06:34.086,2026-03-04 10:06:34.412,,#1e88e5,"[{""startUtc"":""2026-03-04 10:06:34.086"",""endUtc"":""2026-03-04 10:06:34.412""}]",,326,LZeq,none,326,0,0,0,,,,,
region,8,"Residential boundary (971-2, 440 m)",2026-03-04 10:08:14.620,2026-03-04 10:08:14.902,,#1e88e5,"[{""startUtc"":""2026-03-04 10:08:14.620"",""endUtc"":""2026-03-04 10:08:14.902""}]",,282,LZeq,none,282,0,0,0,,,,,
region,9,"Residential boundary (971-2, 440 m)",2026-03-04 10:08:45.404,2026-03-04 10:08:45.703,,#1e88e5,"[{""startUtc"":""2026-03-04 10:08:45.404"",""endUtc"":""2026-03-04 10:08:45.703""}]",,299,LZeq,none,299,0,0,0,,,,,
region,10,"Residential boundary (971-2, 440 m)",2026-03-04 10:24:25.432,2026-03-04 10:24:25.683,,#1e88e5,"[{""startUtc"":""2026-03-04 10:24:25.432"",""endUtc"":""2026-03-04 10:24:25.683""}]",,250,LZeq,none,250,0,0,0,,,,,
region,11,"Residential boundary (971-2, 440 m)",2026-03-04 10:25:36.712,2026-03-04 10:25:36.930,,#1e88e5,"[{""startUtc"":""2026-03-04 10:25:36.712"",""endUtc"":""2026-03-04 10:25:36.930""}]",,218,LZeq,none,218,0,0,0,,,,,
region,12,"Residential boundary (971-2, 440 m)",2026-03-04 10:32:13.528,2026-03-04 10:32:13.709,,#1e88e5,"[{""startUtc"":""2026-03-04 10:32:13.528"",""endUtc"":""2026-03-04 10:32:13.709""}]",,182,LZeq,none,182,0,0,0,,,,,
region,13,"Residential boundary (971-2, 440 m)",2026-03-04 10:33:09.904,2026-03-04 10:33:10.097,,#1e88e5,"[{""startUtc"":""2026-03-04 10:33:09.904"",""endUtc"":""2026-03-04 10:33:10.097""}]",,193,LZeq,none,193,0,0,0,,,,,
region,14,"Residential boundary (971-2, 440 m)",2026-03-04 10:35:11.197,2026-03-04 10:35:11.409,,#1e88e5,"[{""startUtc"":""2026-03-04 10:35:11.197"",""endUtc"":""2026-03-04 10:35:11.409""}]",,213,LZeq,none,213,0,0,0,,,,,
region,15,"Residential boundary (971-2, 440 m)",2026-03-04 10:36:14.729,2026-03-04 10:36:14.971,,#1e88e5,"[{""startUtc"":""2026-03-04 10:36:14.729"",""endUtc"":""2026-03-04 10:36:14.971""}]",,242,LZeq,none,242,0,0,0,,,,,
region,16,"Residential boundary (971-2, 440 m)",2026-03-04 12:06:00.505,2026-03-04 12:06:01.756,,#1e88e5,"[{""startUtc"":""2026-03-04 12:06:00.505"",""endUtc"":""2026-03-04 12:06:01.756""}]",,1250,LZeq,none,1250,0,0,0,,,,,
region,17,"Residential boundary (971-2, 440 m)",2026-03-04 12:06:27.402,2026-03-04 12:06:28.637,,#1e88e5,"[{""startUtc"":""2026-03-04 12:06:27.402"",""endUtc"":""2026-03-04 12:06:28.637""}]",,1234,LZeq,none,1234,0,0,0,,,,,
region,18,"Residential boundary (971-2, 440 m)",2026-03-04 12:06:44.307,2026-03-04 12:06:45.527,,#1e88e5,"[{""startUtc"":""2026-03-04 12:06:44.307"",""endUtc"":""2026-03-04 12:06:45.527""}]",,1220,LZeq,none,1220,0,0,0,,,,,
region,19,"Residential boundary (971-2, 440 m)",2026-03-04 12:07:22.411,2026-03-04 12:07:23.525,,#1e88e5,"[{""startUtc"":""2026-03-04 12:07:22.411"",""endUtc"":""2026-03-04 12:07:23.525""}]",,1114,LZeq,none,1114,0,0,0,,,,,
region,20,"Residential boundary (971-2, 440 m)",2026-03-04 12:07:04.796,2026-03-04 12:07:06.028,,#1e88e5,"[{""startUtc"":""2026-03-04 12:07:04.796"",""endUtc"":""2026-03-04 12:07:06.028""}]",,1232,LZeq,none,1232,0,0,0,,,,,
region,21,"Residential boundary (971-2, 440 m)",2026-03-04 12:09:49.898,2026-03-04 12:09:50.486,,#1e88e5,"[{""startUtc"":""2026-03-04 12:09:49.898"",""endUtc"":""2026-03-04 12:09:50.486""}]",,589,LZeq,none,589,0,0,0,,,,,
region,22,"Residential boundary (971-2, 440 m)",2026-03-04 12:09:53.095,2026-03-04 12:09:53.643,,#1e88e5,"[{""startUtc"":""2026-03-04 12:09:53.095"",""endUtc"":""2026-03-04 12:09:53.643""}]",,548,LZeq,none,548,0,0,0,,,,,
region,23,"Residential boundary (971-2, 440 m)",2026-03-04 12:10:24.792,2026-03-04 12:10:24.901,,#1e88e5,"[{""startUtc"":""2026-03-04 12:10:24.792"",""endUtc"":""2026-03-04 12:10:24.901""}]",,109,LZeq,none,109,0,0,0,,,,,
