Time (Date hh:mm:ss.ms),LEQ dB-A ,Lmax dB-A ,L10 dB-A ,L90 dB-A ,
2025/05/29 15:30:00.000,67.056916 ,94.030365 ,67.154865 ,52.733865 ,
2025/05/29 15:35:00.000,63.524200 ,81.930365 ,67.025865 ,54.974865 ,
2025/05/29 15:40:00.000,66.717314 ,83.530365 ,71.364865 ,52.626865 ,
2025/05/29 15:45:00.000,63.221382 ,80.030365 ,67.354365 ,54.330365 ,
2025/05/29 15:50:00.000,67.246383 ,82.330365 ,70.086865 ,54.717865 ,
2025/05/29 15:55:00.000,64.028042 ,79.730365 ,67.390865 ,52.462865 ,
2025/05/29 16:00:00.000,62.577521 ,84.730365 ,64.978865 ,53.857865 ,
2025/05/29 16:05:00.000,62.238890 ,80.430365 ,65.270365 ,53.718365 ,
2025/05/29 16:10:00.000,64.651296 ,85.030365 ,68.792865 ,53.042865 ,
2025/05/29 16:15:00.000,61.607771 ,83.030365 ,64.591365 ,51.847365 ,
2025/05/29 16:20:00.000,63.375392 ,80.830365 ,67.282865 ,52.792865 ,
2025/05/29 16:25:00.000,62.042020 ,80.430365 ,65.416865 ,52.990865 ,
2025/05/29 16:30:00.000,61.375617 ,79.130365 ,65.197365 ,51.179365 ,
2025/05/29 16:35:00.000,63.860655 ,79.330365 ,67.398865 ,53.627865 ,
2025/05/29 16:40:00.000,63.997271 ,75.730365 ,68.549865 ,52.442865 ,
2025/05/29 16:45:00.000,61.309526 ,78.730365 ,64.926865 ,52.327865 ,
2025/05/29 16:50:00.000,60.297317 ,77.130365 ,64.525865 ,51.369865 ,
2025/05/29 16:55:00.000,65.046246 ,75.530365 ,69.720365 ,52.560365 ,
2025/05/29 17:00:00.000,61.491807 ,72.730365 ,65.264365 ,52.952365 ,
2025/05/29 17:05:00.000,62.195560 ,77.230365 ,66.092865 ,51.242865 ,
2025/05/29 17:10:00.000,58.152501 ,68.830365 ,62.757865 ,49.857865 ,
2025/05/29 17:15:00.000,61.110121 ,71.530365 ,65.490865 ,50.670865 ,
2025/05/29 17:20:00.000,60.737915 ,71.530365 ,64.172365 ,54.380365 ,
2025/05/29 17:25:00.000,59.868241 ,71.030365 ,63.553865 ,53.203865 ,
2025/05/29 17:30:00.000,63.645292 ,74.430365 ,68.411365 ,52.913365 ,
2025/05/29 17:35:00.000,59.402432 ,71.030365 ,63.640365 ,51.760365 ,
2025/05/29 17:40:00.000,62.500696 ,75.330365 ,66.295865 ,52.380865 ,
2025/05/29 17:45:00.000,65.002396 ,76.030365 ,70.117865 ,54.307865 ,
2025/05/29 17:50:00.000,60.758553 ,71.230365 ,64.209365 ,55.695365 ,
2025/05/29 17:55:00.000,60.748319 ,77.530365 ,64.015865 ,52.362865 ,
2025/05/29 18:00:00.000,63.739776 ,76.030365 ,68.442365 ,52.338365 ,
2025/05/29 18:05:00.000,60.269792 ,73.430365 ,63.931865 ,51.781865 ,
2025/05/29 18:10:00.000,60.783055 ,73.530365 ,64.711865 ,52.761865 ,
2025/05/29 18:15:00.000,60.967127 ,74.830365 ,65.140865 ,52.967865 ,
2025/05/29 18:20:00.000,59.805718 ,73.430365 ,64.046865 ,50.654865 ,
2025/05/29 18:25:00.000,61.217354 ,76.130365 ,64.770865 ,54.201865 ,
2025/05/29 18:30:00.000,61.093233 ,74.730365 ,65.630365 ,52.830365 ,
2025/05/29 18:35:00.000,61.737316 ,73.230365 ,66.087865 ,53.263865 ,
2025/05/29 18:40:00.000,61.491306 ,73.530365 ,65.322865 ,52.827865 ,
2025/05/29 18:45:00.000,65.208596 ,77.230365 ,69.488365 ,53.944365 ,
2025/05/29 18:50:00.000,62.274656 ,76.130365 ,66.550865 ,52.399865 ,
2025/05/29 18:55:00.000,64.209628 ,80.330365 ,65.398865 ,52.558865 ,
2025/05/29 19:00:00.000,64.191270 ,80.230365 ,65.989365 ,52.525365 ,
2025/05/29 19:05:00.000,64.375683 ,79.630365 ,68.038865 ,53.289865 ,
2025/05/29 19:10:00.000,62.044873 ,77.130365 ,65.238365 ,54.086365 ,
2025/05/29 19:15:00.000,65.688937 ,81.230365 ,69.565365 ,54.963365 ,
2025/05/29 19:20:00.000,62.053582 ,78.630365 ,65.480365 ,52.880365 ,
2025/05/29 19:25:00.000,63.729436 ,78.830365 ,67.836865 ,53.386865 ,
2025/05/29 19:30:00.000,63.858433 ,77.130365 ,67.567865 ,52.643865 ,
2025/05/29 19:35:00.000,63.271678 ,80.930365 ,66.764365 ,53.480365 ,
2025/05/29 19:40:00.000,62.175450 ,81.030365 ,65.699365 ,51.737365 ,
2025/05/29 19:45:00.000,65.326535 ,79.930365 ,69.220865 ,54.569865 ,
2025/05/29 19:50:00.000,62.075889 ,78.830365 ,65.275865 ,51.190865 ,
2025/05/29 19:55:00.000,63.239840 ,75.630365 ,67.725365 ,52.065365 ,
2025/05/29 20:00:00.000,63.821651 ,83.130365 ,67.872865 ,51.717865 ,
2025/05/29 20:05:00.000,66.337074 ,78.430365 ,70.599865 ,50.384865 ,
2025/05/29 20:10:00.000,63.159024 ,80.730365 ,67.110365 ,49.566365 ,
2025/05/29 20:15:00.000,62.710512 ,81.630365 ,66.532865 ,50.317865 ,
2025/05/29 20:20:00.000,61.246558 ,82.830365 ,65.201865 ,50.207865 ,
2025/05/29 20:25:00.000,61.151890 ,79.930365 ,64.999365 ,49.969365 ,
2025/05/29 20:30:00.000,62.044157 ,81.130365 ,66.092865 ,52.117865 ,
2025/05/29 20:35:00.000,61.089434 ,74.630365 ,65.165865 ,51.242865 ,
2025/05/29 20:40:00.000,62.456571 ,74.030365 ,67.046365 ,51.686365 ,
2025/05/29 20:45:00.000,58.381981 ,68.830365 ,63.031865 ,49.992865 ,
2025/05/29 20:50:00.000,59.061645 ,72.030365 ,64.100365 ,48.500365 ,
2025/05/29 20:55:00.000,56.957903 ,68.430365 ,61.591365 ,49.657365 ,
2025/05/29 21:00:00.000,57.393013 ,72.530365 ,59.659365 ,47.017365 ,
2025/05/29 21:05:00.000,58.883889 ,71.530365 ,63.263865 ,48.357865 ,
2025/05/29 21:10:00.000,58.535897 ,69.030365 ,63.397865 ,49.571865 ,
2025/05/29 21:15:00.000,59.263844 ,68.430365 ,63.785365 ,50.765365 ,
2025/05/29 21:20:00.000,59.129017 ,68.330365 ,63.705365 ,49.455365 ,
2025/05/29 21:25:00.000,59.288698 ,68.330365 ,64.030865 ,50.142865 ,
2025/05/29 21:30:00.000,64.705123 ,82.230365 ,68.881865 ,50.683865 ,
2025/05/29 21:35:00.000,63.691381 ,77.030365 ,68.119365 ,49.093365 ,
2025/05/29 21:40:00.000,58.652810 ,69.130365 ,63.249865 ,49.266865 ,
2025/05/29 21:45:00.000,58.441024 ,70.030365 ,63.570365 ,47.994365 ,
2025/05/29 21:50:00.000,58.093550 ,68.630365 ,63.058365 ,47.442365 ,
2025/05/29 21:55:00.000,57.207200 ,73.930365 ,61.666865 ,46.016865 ,
2025/05/29 22:00:00.000,56.282599 ,67.730365 ,61.704365 ,47.544365 ,
2025/05/29 22:05:00.000,55.121746 ,68.730365 ,59.135365 ,47.451365 ,
2025/05/29 22:10:00.000,60.484754 ,75.430365 ,64.921865 ,48.806865 ,
