XL2 Sound Level Meter Broadband Reporting:		5944-5\2025-06-02_SLM_000_123_Rpt_Report.txt                                   
------------------------------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-15892-E0, FW4.21 Type Approved
	Mic Type:       	NTi Audio M2230, SNo. 8203, User calibrated 2025-05-13  09:19
	Mic Sensitivity:	39.7 mV/Pa
	Time Zone:      	UTC+01:00 (Europe/London, DST)

# Measurement Setup
	Profile:        	Full mode
	Append mode:    	OFF
	Timer mode:     	repeat sync
	Timer set:      	00:05:00
	k1:             	0.0 dB
	k2:             	0.0 dB
	kset Date:      	k-Values not measured
	Range:          	20 - 120 dB

# Broadband Results
	Start       	          	Stop        	          
	Date        	Time      	Date        	Time      	LASmax  	LASmin  	LAFmax  	LAFmin  	LAImax  	LAImin  	LAeq    	Prev_LAeq	LAeq5"  	LAeq5"max	LAeq10' 	LAeq10'max	LAeq15' 	LAeq15'max	LAeq60' 	LAeq60'max	LAIeq   	LAE     	LAPKmax 	LAFT3eq 	LAFT5eq 	LCSmax  	LCSmin  	LCFmax  	LCFmin  	LCImax  	LCImin  	LCeq    	Prev_LCeq	LCeq5"  	LCeq5"max	LCeq10' 	LCeq10'max	LCeq15' 	LCeq15'max	LCeq60' 	LCeq60'max	LCIeq   	LCE     	LCPKmax 	LZSmax  	LZSmin  	LZFmax  	LZFmin  	LZImax  	LZImin  	LZeq    	Prev_LZeq	LZIeq   	LZE     	LZPKmax 	LAFT5eq-LAeq	LAIeq-LAeq	LCeq-LAeq	LAF1.0% 	LAF5.0% 	LAF10.0%	LAF50.0%	LAF90.0%	LAF95.0%	LAF99.0%	ImpPen_max	Low(eq/peak)	Overload
	[YYYY-MM-DD]	[hh:mm:ss]	[YYYY-MM-DD]	[hh:mm:ss]	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]     	[dB]    	[dB]    	[dB]    	[dB]        	[dB]      	[dB]     	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]      	            	        
	2025-06-02  	10:09:48  	2025-06-02  	10:10:00  	76.9    	52.6    	83.1    	44.8    	86.8    	60.5    	68.3    	-.-      	55.3    	71.7     	68.3    	-.-       	68.3    	-.-       	68.3    	-.-       	79.3    	79.0    	105.4   	78.3    	81.6    	78.2    	58.4    	84.2    	55.4    	89.2    	63.7    	71.2    	-.-      	61.5    	74.6     	71.2    	-.-       	71.2    	-.-       	71.2    	-.-       	81.6    	82.0    	103.0   	78.4    	60.3    	84.3    	58.7    	89.3    	64.4    	71.9    	-.-      	82.0    	82.7    	104.0   	13.4        	11.1      	2.9      	80.6    	76.1    	70.7    	57.9    	49.1    	47.2    	45.3    	11.6      	---/---     	        
	2025-06-02  	10:10:00  	2025-06-02  	10:15:00  	96.8    	48.5    	104.7   	43.6    	109.9   	49.8    	73.1    	68.3     	56.5    	90.6     	73.0    	-.-       	73.0    	-.-       	73.0    	-.-       	87.6    	97.9    	134.4   	86.2    	87.1    	96.5    	54.4    	104.3   	53.2    	109.3   	55.9    	73.3    	71.2     	59.9    	90.3     	73.2    	-.-       	73.2    	-.-       	73.2    	-.-       	87.1    	98.1    	130.4   	97.2    	57.1    	104.8   	55.4    	109.8   	59.2    	74.7    	71.9     	87.7    	99.5    	130.4   	14.0        	14.5      	0.2      	76.9    	64.1    	61.2    	54.3    	49.7    	48.9    	47.2    	10.9      	---/---     	    1   
	2025-06-02  	10:15:00  	2025-06-02  	10:20:00  	62.8    	47.3    	63.9    	46.8    	64.6    	48.2    	56.3    	73.1     	57.6    	61.7     	70.2    	70.3      	70.2    	-.-       	70.2    	-.-       	58.0    	81.1    	84.0    	58.5    	59.2    	68.9    	54.1    	71.4    	52.6    	73.2    	55.6    	61.8    	73.3     	62.9    	67.6     	70.6    	70.7      	70.6    	-.-       	70.6    	-.-       	64.3    	86.6    	84.1    	81.1    	57.0    	85.8    	54.4    	88.6    	59.0    	65.3    	74.7     	70.5    	90.1    	92.6    	2.9         	1.7       	5.6      	62.5    	61.3    	60.5    	53.7    	48.4    	47.9    	47.3    	8.8       	---/---     	        
	2025-06-02  	10:20:00  	2025-06-02  	10:25:00  	77.3    	47.9    	81.5    	47.1    	82.3    	48.6    	58.8    	56.3     	48.7    	71.9     	57.8    	70.2      	68.6    	68.7      	68.6    	-.-       	64.1    	83.6    	97.6    	64.6    	68.1    	76.8    	56.8    	80.9    	54.8    	81.6    	59.0    	63.3    	61.8     	57.5    	72.0     	62.7    	70.6      	69.2    	69.3      	69.2    	-.-       	66.9    	88.1    	95.8    	77.0    	59.9    	81.0    	57.8    	81.7    	62.3    	65.7    	65.3     	69.7    	90.4    	100.5   	9.3         	5.3       	4.5      	67.0    	61.8    	60.1    	54.1    	48.9    	48.5    	47.9    	10.9      	---/---     	        
	2025-06-02  	10:25:00  	2025-06-02  	10:30:00  	63.4    	48.3    	64.8    	47.2    	65.5    	49.5    	56.7    	58.8     	54.9    	62.4     	57.9    	58.1      	57.4    	68.6      	67.5    	-.-       	58.4    	81.5    	78.2    	58.9    	59.4    	70.3    	56.4    	73.0    	54.4    	74.6    	57.9    	63.4    	63.3     	60.1    	69.5     	63.4    	63.5      	62.9    	69.2      	68.4    	-.-       	66.2    	88.2    	83.2    	71.7    	60.0    	75.7    	57.8    	79.1    	61.7    	65.6    	65.7     	69.0    	90.4    	85.9    	2.7         	1.6       	6.7      	63.3    	61.5    	60.4    	54.6    	50.6    	49.7    	48.3    	4.3       	---/---     	        
	2025-06-02  	10:30:00  	2025-06-02  	10:35:00  	61.4    	47.5    	62.4    	46.8    	63.3    	48.2    	55.1    	56.7     	59.1    	60.5     	56.0    	57.9      	57.2    	57.6      	66.6    	-.-       	56.7    	79.8    	74.5    	57.1    	57.7    	68.2    	53.6    	70.3    	52.1    	71.9    	55.4    	61.4    	63.4     	63.3    	66.9     	62.5    	63.4      	62.8    	63.0      	67.6    	-.-       	64.1    	86.2    	80.1    	74.0    	56.3    	76.3    	54.7    	77.9    	58.7    	64.1    	65.6     	67.4    	88.9    	84.4    	2.6         	1.6       	6.3      	61.3    	59.9    	59.1    	52.7    	48.4    	48.0    	47.5    	2.6       	---/---     	        
	2025-06-02  	10:35:00  	2025-06-02  	10:40:00  	66.7    	48.3    	68.4    	47.4    	69.1    	49.3    	57.4    	55.1     	58.2    	64.7     	56.4    	56.6      	56.5    	57.2      	65.9    	-.-       	59.1    	82.2    	79.2    	59.5    	60.2    	71.5    	56.1    	73.7    	54.6    	75.6    	57.6    	63.1    	61.4     	63.4    	69.8     	62.3    	63.0      	62.7    	63.0      	67.1    	-.-       	65.9    	87.9    	84.1    	74.6    	59.0    	79.1    	57.4    	81.8    	61.0    	65.5    	64.1     	69.4    	90.2    	86.3    	2.8         	1.7       	5.7      	63.2    	61.8    	60.9    	55.4    	50.0    	48.9    	48.0    	4.2       	---/---     	        
	2025-06-02  	10:40:00  	2025-06-02  	10:45:00  	64.2    	48.1    	65.1    	47.5    	65.5    	48.9    	57.0    	57.4     	51.6    	63.3     	57.2    	57.3      	56.6    	56.7      	65.3    	-.-       	58.7    	81.7    	77.3    	59.0    	59.7    	70.5    	55.3    	75.1    	54.1    	77.3    	56.7    	62.9    	63.1     	57.1    	68.4     	63.0    	63.1      	62.5    	62.9      	66.7    	-.-       	65.4    	87.7    	82.2    	75.6    	58.3    	79.4    	56.5    	81.3    	60.4    	65.2    	65.5     	68.6    	90.0    	86.4    	2.7         	1.7       	5.9      	63.6    	62.2    	60.7    	54.6    	49.6    	48.8    	48.0    	3.4       	---/---     	        
	2025-06-02  	10:45:00  	2025-06-02  	10:50:00  	64.6    	47.1    	65.8    	46.3    	66.5    	48.0    	55.6    	57.0     	58.6    	63.2     	56.4    	57.2      	56.7    	56.7      	64.8    	-.-       	57.5    	80.3    	79.1    	57.9    	58.7    	70.7    	53.4    	72.8    	52.0    	74.7    	54.6    	62.2    	62.9     	68.0    	69.7     	62.5    	63.0      	62.7    	62.7      	66.4    	-.-       	64.6    	87.0    	83.7    	72.8    	56.8    	76.5    	55.2    	78.5    	58.7    	64.1    	65.2     	67.2    	88.9    	85.2    	3.2         	1.9       	6.6      	62.5    	60.6    	59.2    	53.0    	48.2    	47.6    	46.9    	4.3       	---/---     	        
