XL2 Sound Level Meter RTA Reporting:		5944-5\2025-06-02_SLM_000_RTA_3rd_Report.txt
------------------------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-15892-E0, FW4.21 Type Approved
	Mic Type:       	NTi Audio M2230, SNo. 8203, User calibrated 2025-05-13  09:19
	Mic Sensitivity:	39.7 mV/Pa
	Time Zone:      	UTC+01:00 (Europe/London, DST)

# Measurement Setup
	Profile:        	Full mode
	Append mode:    	OFF
	Timer mode:     	repeat sync
	Timer set:      	00:05:00
	Resolution:     	1/3 Octave
	Range:          	20 - 120 dB

# Time
	Start:          	2025-06-03, 13:10:00
	End:            	2025-06-03, 13:11:48

# RTA Results 
	Band [Hz]	6.3     	8.0     	10.0    	12.5    	16.0    	20.0    	25.0    	31.5    	40.0    	50.0    	63.0    	80.0    	100.0   	125.0   	160.0   	200.0   	250.0   	315.0   	400.0   	500.0   	630.0   	800.0   	1000.0  	1250.0  	1600.0  	2000.0  	2500.0  	3150.0  	4000.0  	5000.0  	6300.0  	8000.0  	10000.0 	12500.0 	16000.0 	20000.0 
	         	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    
	LZFmax   	73.9    	70.5    	68.7    	62.5    	63.0    	63.0    	65.8    	62.8    	63.4    	63.5    	67.4    	57.8    	59.0    	61.1    	57.6    	66.5    	69.7    	68.8    	59.9    	62.0    	60.2    	58.5    	59.4    	63.5    	61.9    	64.5    	57.7    	58.0    	55.0    	53.2    	57.8    	53.8    	59.1    	80.2    	65.7    	55.9    
	LZFmin   	27.0    	31.8    	35.4    	34.5    	34.5    	37.2    	43.8    	42.1    	41.7    	41.4    	42.3    	39.9    	41.1    	37.3    	37.6    	38.4    	39.3    	38.7    	39.0    	40.9    	42.9    	44.3    	45.5    	43.7    	41.5    	39.9    	39.3    	37.1    	34.4    	32.6    	30.6    	29.1    	25.7    	21.7    	17.4    	15.0    
	LZeq     	57.9    	54.7    	52.9    	52.1    	51.7    	51.4    	55.9    	53.1    	52.5    	54.9    	55.0    	48.7    	51.1    	48.6    	47.3    	48.7    	51.5    	51.3    	49.3    	49.8    	50.0    	51.5    	52.6    	49.8    	47.8    	46.1    	43.5    	42.2    	42.0    	39.5    	38.2    	37.5    	37.9    	57.8    	41.7    	32.5    
	L_Capt   	-.-     	-.-     	-.-     	-.-     	-.-     	-.-     	-.-     	-.-     	-.-     	-.-     	-.-     	-.-     	-.-     	-.-     	-.-     	-.-     	-.-     	-.-     	-.-     	-.-     	-.-     	-.-     	-.-     	-.-     	-.-     	-.-     	-.-     	-.-     	-.-     	-.-     	-.-     	-.-     	-.-     	-.-     	-.-     	-.-     
	LZE      	78.3    	75.1    	73.3    	72.5    	72.2    	71.8    	76.3    	73.5    	72.9    	75.3    	75.5    	69.2    	71.5    	69.0    	67.7    	69.1    	71.9    	71.7    	69.7    	70.3    	70.4    	71.9    	73.0    	70.2    	68.2    	66.5    	64.0    	62.6    	62.4    	59.9    	58.7    	58.0    	58.4    	78.2    	62.1    	52.9    
	LZF1.0%  	71.0    	65.0    	63.0    	61.0    	59.0    	58.0    	61.0    	60.0    	59.0    	61.0    	64.0    	55.0    	56.0    	55.0    	54.0    	55.0    	58.0    	58.0    	57.0    	60.0    	57.0    	57.0    	58.0    	55.0    	55.0    	54.0    	52.0    	50.0    	51.0    	49.0    	47.0    	48.0    	50.0    	72.0    	55.0    	45.0    
	LZF5.0%  	63.0    	61.0    	58.0    	57.0    	57.0    	56.0    	59.0    	57.0    	57.0    	60.0    	61.0    	52.0    	55.0    	53.0    	51.0    	53.0    	56.0    	55.0    	53.0    	53.0    	53.0    	55.0    	56.0    	53.0    	51.0    	49.0    	46.0    	46.0    	48.0    	45.0    	43.0    	43.0    	42.0    	60.0    	45.0    	37.0    
	LZF10.0% 	59.0    	57.0    	56.0    	55.0    	55.0    	54.0    	58.0    	56.0    	55.0    	58.0    	59.0    	51.0    	54.0    	52.0    	50.0    	51.0    	54.0    	54.0    	52.0    	51.0    	52.0    	54.0    	55.0    	52.0    	50.0    	48.0    	44.0    	44.0    	45.0    	42.0    	40.0    	40.0    	38.0    	47.0    	38.0    	32.0    
	LZF50.0% 	48.0    	48.0    	48.0    	49.0    	49.0    	49.0    	55.0    	51.0    	50.0    	52.0    	50.0    	47.0    	50.0    	46.0    	45.0    	46.0    	48.0    	49.0    	47.0    	47.0    	48.0    	50.0    	51.0    	48.0    	46.0    	44.0    	42.0    	40.0    	38.0    	36.0    	34.0    	32.0    	28.0    	24.0    	20.0    	16.0    
